workload_id,rho,capacity,quantizer,arrival_scheduling_mode,configured_fine_deltas,positive_fine_deltas,zero_fine_deltas,min_included_delta,max_included_delta,status,exponent,intercept,r_squared
workload_0cc850cb4b86f853ecf41144,0.95,4,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9031951353264833,-0.3115725249907771,0.9414075870950118
workload_0cc850cb4b86f853ecf41144,0.95,4,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9100886509012605,0.1887379670964877,0.9891751474058931
workload_0cc850cb4b86f853ecf41144,0.95,4,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.994755736519861,0.5712748841636697,0.9933484895283992
workload_0d99068789c763979c4f909f,1.0,16,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.7413416022099434,-1.4867844970038653,0.9278197068564193
workload_0d99068789c763979c4f909f,1.0,16,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9133840980051807,0.1979718688294923,0.9561305718179769
workload_0d99068789c763979c4f909f,1.0,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.7715551288430162,-1.0371522497900663,0.9584358547564376
workload_0dfdb28a8bd0e34746c4fc36,1.0,16,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8244696328001927,-0.9501555054623988,0.9786373062134843
workload_0dfdb28a8bd0e34746c4fc36,1.0,16,floor,preload_all,6,6,0,1e-05,0.003,complete,0.8690983753964417,-0.1859567150107105,0.9835143573149313
workload_0dfdb28a8bd0e34746c4fc36,1.0,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9302303499000136,0.12758126073036538,0.9758101999674733
workload_0e0f90e9b3345a0c607589a7,0.5,4,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8873630020135705,-1.1704114773422756,0.961645864186422
workload_0e0f90e9b3345a0c607589a7,0.5,4,floor,preload_all,6,6,0,1e-05,0.003,complete,1.0069985501656888,0.5345040096127893,0.9934058688772387
workload_0e0f90e9b3345a0c607589a7,0.5,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.0953425390089153,0.8229018110219493,0.9919767250547088
workload_0e22f16278c3fd7b484de105,1.1,8,ceiling,preload_all,6,5,1,1e-05,0.003,one_missing,0.911593339491039,-0.3881576014955306,0.9748467608511304
workload_0e22f16278c3fd7b484de105,1.1,8,floor,preload_all,6,6,0,1e-05,0.003,complete,1.025720555293646,1.097035962595692,0.9982844468698943
workload_0e22f16278c3fd7b484de105,1.1,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9798977560996686,0.6034827790333136,0.99438255917396
workload_0e5a1299e5d3e161ab48b9fa,0.95,1,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.865661201263177,-0.7859765162950179,0.9918782659402369
workload_0e5a1299e5d3e161ab48b9fa,0.95,1,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9671831200003224,0.1541050997126941,0.9574442021163699
workload_0e5a1299e5d3e161ab48b9fa,0.95,1,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.138071781717833,1.2301233035131696,0.9951401134915416
workload_0e8f068e882b65884a1c9331,0.95,4,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,1.1072127426927147,1.1710808634250385,0.9764324254963933
workload_0e8f068e882b65884a1c9331,0.95,4,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.1128998200197582,1.57512612306145,0.9965478177591223
workload_0e8f068e882b65884a1c9331,0.95,4,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.1767528525667097,1.7572824544683345,0.9905263290860321
workload_0e8f2cc54c6763845efa785c,0.95,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9445308087266588,-0.13426171994228622,0.9782721500381002
workload_0e8f2cc54c6763845efa785c,0.95,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9737222292065338,0.606722957971009,0.9900502105853067
workload_0e8f2cc54c6763845efa785c,0.95,8,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.0076045451543345,0.7027775156366846,0.9823421587057766
workload_0eb13b122eb555a5c1e7b324,0.5,1,ceiling,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,0.8294478143302,-1.1808732546332306,0.9919986488820802
