analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_1885164676f832d209b6a204,0.95,1,3e-05,floor,preload_all,30,8.666666666666082e-06,5.905010653074944e-05,2.6000000000000002e-05,9.333333333333334e-06,1.0,4.0000000000003e-06,1.4000000000001094e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1927ceb7e3d11506cd43f9a2,1.25,4,0.001,nearest,preload_all,30,0.000129333333333335,0.002160681042121756,0.0009226666666666667,0.00028900000000000003,0.25,0.00010266666666667127,0.00015666666666666796,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1955c5e96a92f9e1f30bac3c,1.25,16,0.003,nearest,preload_all,30,0.0008319999999999976,0.006797128090615823,0.002977666666666667,0.0006253333333333333,0.0625,0.0006213333333333302,0.0010499999999999945,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1aa9ec077a0b2ae6611a93ca,1.0,4,1e-05,ceiling,preload_all,30,1.3333333333328165e-06,1.480825461261339e-05,8.666666666666668e-06,2.0000000000000003e-06,0.25,0.0,3.333333333332041e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1b481e1f11357b0d27be59f0,1.1,1,0.001,nearest,preload_all,30,0.00025533333333332964,0.0018388916924851988,0.0007740000000000001,0.0005146666666666666,1.0,0.00022199999999998518,0.0002899999999999941,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1c020e3e6a89febfc7ae7b78,0.5,8,0.0001,floor,preload_all,30,0.0,0.00018684648520040102,0.000116,6.666666666666667e-07,0.125,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1c48cc2c7663e23609269c32,1.0,16,0.1,floor,preload_all,30,0.00038533333333333334,0.2163617955870289,0.09049366666666667,0.0038416666666666664,0.0625,0.00028733333333333275,0.000491333333333333,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1c78da5f2926aa68918da813,1.25,1,0.03,nearest,preload_all,30,0.007280666666666661,0.05641976028555416,0.022514,0.016094,1.0,0.007022666666666669,0.007542666666666668,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1ddef84eb28e897f6aab1aa7,1.25,16,3e-05,floor,preload_all,30,2.4666666666668207e-05,9.35393197536871e-05,3.4e-05,5.333333333333334e-06,0.0625,4.666666666668559e-06,5.1333333333334714e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1debff7488900ebe6abe2fd5,0.95,1,0.03,nearest,preload_all,30,0.007429999999999997,0.04693550781819862,0.021594666666666665,0.014234333333333333,1.0,0.0072279999999999974,0.0076433333333333275,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_1e59b086baf25360f2f35e39,1.25,8,0.1,nearest,preload_all,30,0.0010420000000000004,0.20000485100092058,0.08779233333333333,0.021798333333333333,0.125,0.0007560000000000002,0.001362666666666665,mean of workload-paired AF/DF estimates,workload replication
