quantizer,rho,capacity,delta,policy,arrival_quantization_error_signed_mean,arrival_quantization_error_absolute_mean,arrival_quantization_error_median,arrival_quantization_error_p05,arrival_quantization_error_p95,arrival_quantization_error_minimum,arrival_quantization_error_maximum,arrival_quantization_error_zero_fraction,arrival_quantization_error_shortened_fraction,arrival_quantization_error_lengthened_fraction,arrival_quantization_error_accumulated_signed_error,service_quantization_error_signed_mean,service_quantization_error_absolute_mean,service_quantization_error_median,service_quantization_error_p05,service_quantization_error_p95,service_quantization_error_minimum,service_quantization_error_maximum,service_quantization_error_zero_fraction,service_quantization_error_shortened_fraction,service_quantization_error_lengthened_fraction,service_quantization_error_accumulated_signed_error
ceiling,0.5,1,0.01,insertion_order,0.005002092976881806,0.005002092976881806,0.004997260541949799,0.0005028784424636494,0.009503340484031165,2.213558521665012e-07,0.009999840219218943,0.0,0.0,1.0,250.1046488440903,0.0050073123731433486,0.0050073123731433486,0.005008121371996765,0.0005058704849166569,0.009503917555097064,3.7251196775093625e-07,0.009999696381389733,0.0,0.0,1.0,166.2219563408813
ceiling,0.5,1,0.03,arrival_first,0.014988826306747511,0.014988826306747511,0.01498034115268941,0.0015034657603791859,0.02849955620186847,6.276048831447649e-07,0.02999942584180341,0.0,0.0,1.0,749.4413153373755,0.015072100320693116,0.015072100320693116,0.01510394733581197,0.0015320203378513951,0.028523072998049365,7.649195010750222e-07,0.02999877976892073,0.0,0.0,1.0,496.9714769670205
ceiling,0.5,1,0.03,departure_first,0.014988826306747511,0.014988826306747511,0.01498034115268941,0.0015034657603791859,0.02849955620186847,6.276048831447649e-07,0.02999942584180341,0.0,0.0,1.0,749.4413153373755,0.015071285213954237,0.015071285213954237,0.01510347966519718,0.001531475239158995,0.028522191826953158,7.372132667163995e-07,0.02999877976892073,0.0,0.0,1.0,502.0149470870898
ceiling,0.5,1,0.03,insertion_order,0.014988826306747511,0.014988826306747511,0.01498034115268941,0.0015034657603791859,0.02849955620186847,6.276048831447649e-07,0.02999942584180341,0.0,0.0,1.0,749.4413153373755,0.015072100320693116,0.015072100320693116,0.01510394733581197,0.0015320203378513951,0.028523072998049365,7.649195010750222e-07,0.02999877976892073,0.0,0.0,1.0,496.9714769670205
ceiling,0.5,1,0.1,arrival_first,0.05003349297895146,0.05003349297895146,0.050095015801889534,0.004971197201026978,0.09498686555285227,3.1512684169380615e-06,0.09999758973444842,0.0,0.0,1.0,2501.674648947573,0.0507934929873584,0.0507934929873584,0.05121831189571705,0.005248765570772062,0.09521812243176071,4.068079188012756e-06,0.09999705300404403,0.0,0.0,1.0,1636.6013770405477
ceiling,0.5,1,0.1,departure_first,0.05003349297895146,0.05003349297895146,0.050095015801889534,0.004971197201026978,0.09498686555285227,3.1512684169380615e-06,0.09999758973444842,0.0,0.0,1.0,2501.674648947573,0.050795593659106755,0.050795593659106755,0.05122277495696527,0.0052405655367340435,0.09522680426808981,4.068079188012756e-06,0.09999716155428748,0.0,0.0,1.0,1691.022497823201
ceiling,0.5,1,0.1,insertion_order,0.05003349297895146,0.05003349297895146,0.050095015801889534,0.004971197201026978,0.09498686555285227,3.1512684169380615e-06,0.09999758973444842,0.0,0.0,1.0,2501.674648947573,0.0507934929873584,0.0507934929873584,0.05121831189571705,0.005248765570772062,0.09521812243176071,4.068079188012756e-06,0.09999705300404403,0.0,0.0,1.0,1636.6013770405477
ceiling,0.5,4,1e-05,arrival_first,5.000119120764187e-06,5.000119120764187e-06,4.999973983406865e-06,5.007771960663377e-07,9.499809226933091e-06,2.2246240405365824e-10,9.999867628115073e-06,6.666666666666667e-07,0.0,0.9999993333333334,0.25000595603820935,4.997640927242366e-06,4.997640927242366e-06,4.998736068510147e-06,4.978540063796085e-07,9.498292287758019e-06,2.0343388594061078e-10,9.999785355309636e-06,0.0,0.0,1.0,0.2417950864824628
ceiling,0.5,4,1e-05,departure_first,5.000119120764187e-06,5.000119120764187e-06,4.999973983406865e-06,5.007771960663377e-07,9.499809226933091e-06,2.2246240405365824e-10,9.999867628115073e-06,6.666666666666667e-07,0.0,0.9999993333333334,0.25000595603820935,4.997640927242366e-06,4.997640927242366e-06,4.998736068510147e-06,4.978540063796085e-07,9.498292287758019e-06,2.0343388594061078e-10,9.999785355309636e-06,0.0,0.0,1.0,0.2417950864824628
ceiling,0.5,4,1e-05,insertion_order,5.000119120764187e-06,5.000119120764187e-06,4.999973983406865e-06,5.007771960663377e-07,9.499809226933091e-06,2.2246240405365824e-10,9.999867628115073e-06,6.666666666666667e-07,0.0,0.9999993333333334,0.25000595603820935,4.997640927242366e-06,4.997640927242366e-06,4.998736068510147e-06,4.978540063796085e-07,9.498292287758019e-06,2.0343388594061078e-10,9.999785355309636e-06,0.0,0.0,1.0,0.2417950864824628
