rho,capacity,quantizer,arrival_scheduling_mode,n_workloads,mean_slope,sd_slope,median_slope,q25_slope,q75_slope,iqr_slope,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_unit,aggregation
1.1,8,floor,preload_all,30,0.9742283017784135,0.0705346092590475,0.9789577056015746,0.9232601313518293,1.018184856806122,0.09492472545429276,0.9491427440188087,0.999549615996349,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,8,nearest,preload_all,30,0.979924246696644,0.09404208804230434,0.9756934018691458,0.9094786705927022,1.0134354301048558,0.10395675951215366,0.9481846249549224,1.0138739724344943,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,16,ceiling,preload_all,30,0.9453916128630772,0.11092723824703955,0.9361432214441152,0.88108126934762,0.9581737407626185,0.07709247141499853,0.9090541534606487,0.987094551020882,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,16,floor,preload_all,30,1.0159645115390707,0.11228073420509502,1.0254132678571581,0.9450454485303158,1.0700548968933183,0.12500944836300254,0.9772946301036097,1.0551563280890413,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.1,16,nearest,preload_all,30,0.9844736976115313,0.07278096842889417,0.9795218283272018,0.9275485805244026,1.026996352588021,0.09944777206361843,0.9597147190912728,1.0114199577783893,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,1,ceiling,preload_all,30,0.9756077564501806,0.12877635713504224,0.9668180549075437,0.9024158255095317,1.0649982628388264,0.16258243732929467,0.9309958993960143,1.0208891602236652,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,1,floor,preload_all,30,0.9650097943674801,0.11566625424740325,0.9875370127112042,0.8890825590204948,1.0350105706960309,0.14592801167553604,0.9236646515014756,1.0054413555849222,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,1,nearest,preload_all,30,1.0060997910499927,0.13512889085702412,0.999546089806735,0.9152973828495766,1.0962171646585968,0.18091978180902013,0.959900293217517,1.0547330982201049,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,4,ceiling,preload_all,30,0.9837263822347825,0.10180676899571003,0.9860249305802689,0.9180021776160026,1.0354610753488076,0.11745889773280505,0.9487967973492126,1.020463236195365,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,4,floor,preload_all,30,1.0308733807738162,0.08628759012235297,1.0208860916107079,0.9789106085861891,1.0889780787012482,0.11006747011505913,1.0008842165752156,1.0608360792139242,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,4,nearest,preload_all,30,1.01865933125542,0.1157604450620644,1.003335341801215,0.9253275659471696,1.0841293174518147,0.15880175150464515,0.9789876133735074,1.0604080661163764,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,8,ceiling,preload_all,30,1.0150651870996028,0.10529677438628855,1.0329349948173498,0.9353313567960333,1.0904642373202835,0.15513288052425023,0.9776876371601654,1.0509175929226295,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,8,floor,preload_all,30,1.0074390017846846,0.08005122769020623,1.0104154455177863,0.9421766282320412,1.0474643263533499,0.10528769812130867,0.979663743580419,1.0355803030478783,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,8,nearest,preload_all,30,0.977666787691849,0.10948717287929031,0.9710124594187433,0.8979962121137123,1.0203462087802753,0.12234999666656299,0.9406124884911409,1.0170268126083988,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,16,ceiling,preload_all,30,0.9989012744795979,0.10356177272889158,0.9928518185632984,0.9400660463400128,1.0489143512902228,0.10884830495021003,0.9624810713228297,1.035862133117927,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,16,floor,preload_all,30,0.9701496129734388,0.08572272860841235,0.9752359569131381,0.9283938710589991,1.0237297359796322,0.09533586492063317,0.9408935001073228,1.0020758184502778,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
1.25,16,nearest,preload_all,30,0.9652945964043588,0.09347457218242294,0.9741053776983386,0.8974070343627667,1.0046453743577475,0.10723833999498078,0.9333234847053439,0.9984603684579992,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
