analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_9b56301ec1adcc98a5cb84fa,0.95,16,0.001,floor,schedule_next_after_transition,30,2.600000000000102e-05,0.002337614052638693,0.000992,3.5333333333333336e-05,0.0625,1.3333333333333947e-05,4.1333333333334424e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9c25cb34eaeb814200646693,1.25,16,0.0003,floor,schedule_next_after_transition,30,0.00025666666666666893,0.0008151681388720109,0.00027966666666666667,5.366666666666667e-05,0.0625,0.00017199999999999993,0.0003646666666666687,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9cd5aa47130fb4853ad2416a,1.1,16,0.1,floor,schedule_next_after_transition,30,0.0008980000000000016,0.22480248887957088,0.090017,0.007536,0.0625,0.0006880000000000021,0.0011126666666666674,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9d72835f4050e6425cd6665c,1.0,4,0.1,floor,schedule_next_after_transition,30,0.003938666666666663,0.207301802408138,0.090539,0.016780333333333335,0.25,0.003666649999999994,0.00419933333333333,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9db336daad4f5f3fecd42a14,0.8,16,0.001,ceiling,schedule_next_after_transition,30,1.999999999999976e-06,0.001158830148905079,0.0007893333333333333,4.000000000000001e-06,0.0625,0.0,4.666666666666563e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9db8864dc456dca60f9de316,1.0,1,3e-05,floor,schedule_next_after_transition,30,1.3333333333339266e-05,7.377253888312672e-05,3.533333333333333e-05,2.1333333333333335e-05,1.0,8.666666666666082e-06,1.866666666666683e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9dccfe9d7e88c178cc19d9d1,0.8,4,1e-05,floor,schedule_next_after_transition,30,0.0,2.0585312255314447e-05,1.1333333333333334e-05,1.3333333333333334e-06,0.25,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9e2304e5345c1cb608ef77ec,1.25,8,0.0001,nearest,schedule_next_after_transition,30,4.7333333333334414e-05,0.00020213540726321216,8.8e-05,2.8e-05,0.125,2.8000000000002097e-05,6.933333333333054e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9e442ab4dfb599563810d937,0.8,1,0.003,floor,schedule_next_after_transition,30,0.0007173333333333384,0.00531004679378743,0.002976333333333333,0.001325,1.0,0.0006666666666666765,0.0007693333333333386,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9e744e8f94050162b4d3fcc2,1.0,8,0.03,ceiling,schedule_next_after_transition,30,0.00047466666666666767,0.04312811901199285,0.025951666666666665,0.0033836666666666668,0.125,0.00035400000000000107,0.0006026666666666676,mean of workload-paired AF/DF estimates,workload replication
