workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_0617fe2346fb8937bf983015,1.25,4,nearest,preload_all,5,1.0673573069610898,1.23906391181534,AF/DF midpoint before one log-log slope per workload-design
workload_0724f54bc7a548899a3ed4b4,1.1,8,ceiling,preload_all,6,0.8681280975278967,-0.4482507963651985,AF/DF midpoint before one log-log slope per workload-design
workload_0724f54bc7a548899a3ed4b4,1.1,8,floor,preload_all,6,0.8960300636472287,0.1813788808016325,AF/DF midpoint before one log-log slope per workload-design
workload_0724f54bc7a548899a3ed4b4,1.1,8,nearest,preload_all,6,0.9818598462712056,0.563865807633605,AF/DF midpoint before one log-log slope per workload-design
workload_07255067b65d9b7080136566,1.25,8,ceiling,preload_all,6,0.9402841970555362,0.3547080070537919,AF/DF midpoint before one log-log slope per workload-design
workload_07255067b65d9b7080136566,1.25,8,floor,preload_all,5,0.992914736142327,0.9792433226332742,AF/DF midpoint before one log-log slope per workload-design
workload_07255067b65d9b7080136566,1.25,8,nearest,preload_all,6,1.0182623644831528,0.9366359042940174,AF/DF midpoint before one log-log slope per workload-design
workload_07f64e1c83b3843ad3e07f0a,1.1,8,ceiling,preload_all,5,0.912929511355785,-0.0382626159571991,AF/DF midpoint before one log-log slope per workload-design
workload_07f64e1c83b3843ad3e07f0a,1.1,8,floor,preload_all,4,0.9633793372498042,0.8024830885263833,AF/DF midpoint before one log-log slope per workload-design
workload_07f64e1c83b3843ad3e07f0a,1.1,8,nearest,preload_all,5,1.0604182288626651,1.2265123239197195,AF/DF midpoint before one log-log slope per workload-design
workload_08be9e06af1397dbd54da50d,1.25,16,ceiling,preload_all,5,1.1316150682477288,1.498759887358965,AF/DF midpoint before one log-log slope per workload-design
workload_08be9e06af1397dbd54da50d,1.25,16,floor,preload_all,6,0.9878424820950062,0.9116907338252356,AF/DF midpoint before one log-log slope per workload-design
workload_08be9e06af1397dbd54da50d,1.25,16,nearest,preload_all,6,1.053811214046532,1.153155579298056,AF/DF midpoint before one log-log slope per workload-design
workload_098986fc4e66126314a5d028,0.5,16,ceiling,preload_all,5,0.9510089960205174,-0.8013338695874064,AF/DF midpoint before one log-log slope per workload-design
workload_098986fc4e66126314a5d028,0.5,16,floor,preload_all,5,1.0515645285731663,0.984358631140641,AF/DF midpoint before one log-log slope per workload-design
workload_098986fc4e66126314a5d028,0.5,16,nearest,preload_all,5,0.9004841592086219,-0.4383770418650408,AF/DF midpoint before one log-log slope per workload-design
workload_09a16b901920057dfeb73d5b,1.0,8,ceiling,preload_all,6,0.937746087213056,-0.2610081372959943,AF/DF midpoint before one log-log slope per workload-design
workload_09a16b901920057dfeb73d5b,1.0,8,floor,preload_all,6,1.0459517700247267,1.1633305913500358,AF/DF midpoint before one log-log slope per workload-design
workload_09a16b901920057dfeb73d5b,1.0,8,nearest,preload_all,5,0.8576570876992753,-0.4704619155823336,AF/DF midpoint before one log-log slope per workload-design
workload_0a01ac908357af19f4851399,0.5,1,ceiling,preload_all,5,1.0039300737511332,-0.6946270397907794,AF/DF midpoint before one log-log slope per workload-design
workload_0a01ac908357af19f4851399,0.5,1,floor,preload_all,6,0.7370162161554742,-1.64566193829874,AF/DF midpoint before one log-log slope per workload-design
workload_0a01ac908357af19f4851399,0.5,1,nearest,preload_all,5,0.8469433473016237,-1.1571228008253482,AF/DF midpoint before one log-log slope per workload-design
workload_0a19ad1b19d14fc7c7e076d6,1.25,16,ceiling,preload_all,6,0.9444902205123432,0.2582166562262704,AF/DF midpoint before one log-log slope per workload-design
workload_0a19ad1b19d14fc7c7e076d6,1.25,16,floor,preload_all,5,1.0297243772878175,1.194079890302635,AF/DF midpoint before one log-log slope per workload-design
workload_0a19ad1b19d14fc7c7e076d6,1.25,16,nearest,preload_all,5,0.9573018081371244,0.5258244658737252,AF/DF midpoint before one log-log slope per workload-design
workload_0a78128b6868955af1fe0724,1.25,16,ceiling,preload_all,5,0.9894244495236666,0.4262315674061895,AF/DF midpoint before one log-log slope per workload-design
workload_0a78128b6868955af1fe0724,1.25,16,floor,preload_all,6,0.977868401427932,0.746055338498088,AF/DF midpoint before one log-log slope per workload-design
workload_0a78128b6868955af1fe0724,1.25,16,nearest,preload_all,6,0.9808795353876002,0.6267521445165605,AF/DF midpoint before one log-log slope per workload-design
workload_0a7cb2e0979cece383a04d97,0.8,1,ceiling,preload_all,6,0.8401096970080729,-1.152632678020529,AF/DF midpoint before one log-log slope per workload-design
workload_0a7cb2e0979cece383a04d97,0.8,1,floor,preload_all,6,0.9975831576074388,0.4098724886924544,AF/DF midpoint before one log-log slope per workload-design
workload_0a7cb2e0979cece383a04d97,0.8,1,nearest,preload_all,5,1.08157038739451,0.8272320481218333,AF/DF midpoint before one log-log slope per workload-design
workload_0b26f746416718fe91940966,0.95,16,ceiling,preload_all,6,0.9808763809953832,0.2729614138548525,AF/DF midpoint before one log-log slope per workload-design
workload_0b26f746416718fe91940966,0.95,16,floor,preload_all,6,0.841421720433535,-0.2512475997832307,AF/DF midpoint before one log-log slope per workload-design
