configuration_id,rho,capacity,delta,quantizer,policy,arrival_scheduling_mode,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_sojourn_time,mean_occupancy,mean_collision_event_fraction,mean_collided_tick_fraction,mean_mixed_collision_rate,mean_critical_acceptance_difference_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
configuration_b0eab3755d4b5948e47abd8c,1.0,16,0.0003,floor,departure_first,preload_all,30,0.059516,0.0038498988791019362,0.9417815599082956,7.534149159670544,8.53430534561128,8.03695301149653,0.0007200774718720477,0.0003601721178521611,0.00029266666666666666,1.6666666666666667e-05,0.0007028921533993283,0.05813833137933731,0.060893668620662686
configuration_b1033f6822490f8c396fc379,1.0,16,0.003,floor,insertion_order,preload_all,30,0.05887066666666666,0.00383115264309746,0.9424238346899991,7.490602980275926,8.489290255682311,7.999871428936046,0.007319355925017078,0.0036681670936318076,0.0029613333333333336,0.00016199999999999998,0.0006994695746233392,0.057499706300404914,0.06024162703292841
configuration_b112dcc2670922dc4ce528db,1.25,8,0.0001,nearest,departure_first,schedule_next_after_transition,30,0.231956,0.00406189492045617,0.9605313947346107,4.620814214212658,5.621072553330945,5.398964324101959,0.00020213550923657385,0.00010108016057684541,8.8e-05,2.8e-05,0.0007415971580498323,0.23050246957022233,0.23340953042977766
configuration_b11856fbd9c00608de420252,0.8,16,1e-05,floor,arrival_first,preload_all,30,0.005967333333333334,0.0010322454043068653,0.7954703698506917,3.535957617636422,4.535816298474883,3.607864105406848,2.4071108906395495e-05,1.2035782443851808e-05,1e-05,0.0,0.00018846136427330348,0.005597949059357659,0.006336717607309009
configuration_b12d9a716a7833ab978c1b72,1.25,4,0.001,nearest,arrival_first,preload_all,30,0.29756333333333335,0.002983199316324616,0.8769342901516196,1.7744093463312782,2.7752418576167406,2.4336271958377145,0.0021599204706345397,0.0010811385934292662,0.0009226666666666667,0.000288,0.0005446551863616606,0.2964958091680645,0.2986308574986022
configuration_b142fce3636eea2a0914198a,0.95,4,0.1,nearest,departure_first,schedule_next_after_transition,30,0.178088,0.0036536409804184488,0.780696586421353,1.4532658074966023,2.453393192075032,1.9152801647468383,0.16711663966664878,0.08855796833672365,0.08103600000000001,0.016964,0.0006670605273334918,0.17678056136642636,0.17939543863357363
configuration_b153b08e97b21d94a535d27b,1.25,1,0.03,ceiling,arrival_first,preload_all,30,0.562774,0.0019479867591421706,0.5463686530672998,0.0,1.0149773509678388,0.5545260778775465,0.04757074165258155,0.024178070762989997,0.016049333333333336,0.016049333333333336,0.0003556520965678499,0.562076921890727,0.563471078109273
configuration_b188732195265674152b6f05,1.25,8,0.01,ceiling,insertion_order,preload_all,30,0.234464,0.0039926774354370614,0.9574029712418787,4.66186744747618,5.666833214020729,5.425257828126765,0.01786174934700984,0.008987459869312105,0.009594,0.002298,0.0007289598320769184,0.23303523872912923,0.23589276127087078
configuration_b18ef2da5d08ea71d8505ed5,1.25,1,3e-05,nearest,arrival_first,schedule_next_after_transition,30,0.555508,0.0018089249998749178,0.55544919703123,0.0,1.0003262022470478,0.5556067977327032,5.631953922120244e-05,2.816099114651536e-05,2.3333333333333336e-05,1.5333333333333334e-05,0.00033026300908884076,0.5548606845021858,0.5561553154978142
configuration_b197545b9ff184dd14ca569f,0.5,4,0.01,ceiling,departure_first,preload_all,30,0.03253466666666667,0.0011419515459656485,0.48377826544098423,0.7371115028272875,1.7408132826937062,0.842163822767166,0.007378746125551389,0.003697971683340717,0.0047413333333333335,0.000312,0.00020849087376776108,0.03212602455408186,0.03294330877925148
configuration_b19f45fe39622ebc5939193f,0.95,4,0.0001,nearest,departure_first,schedule_next_after_transition,30,0.18000000000000002,0.0036532876077346554,0.7788802553784702,1.4372757249866384,2.4377471720040917,1.8986287901850507,0.00019999786758742157,0.00010000992007668977,9.533333333333334e-05,1.9333333333333333e-05,0.0006669960106034518,0.17869268781921727,0.18130731218078278
configuration_b1a10577548f03bdf80a08ea,1.1,8,3e-05,ceiling,insertion_order,schedule_next_after_transition,30,0.15738933333333333,0.003867476173685233,0.9269411081307709,3.9919813904768175,4.991631123199795,4.626647891939213,5.212096811560787e-05,2.6061467322699232e-05,3.066666666666667e-05,6.666666666666667e-06,0.0007061013136470567,0.15600537475858509,0.15877329190808157
configuration_b1b3a78622cbbef36b75f187,1.25,1,0.0001,ceiling,arrival_first,preload_all,30,0.55553,0.001804643435982408,0.5554217795916716,0.0,1.0003935126184553,0.5556166915915736,0.0001440133456398428,7.201284902230194e-05,4.8e-05,4.8e-05,0.00032948130604706504,0.5548842166401478,0.5561757833598522
configuration_b1b6a2202516cb4b6251476d,0.8,16,1e-05,ceiling,departure_first,preload_all,30,0.005967333333333334,0.001032245404306865,0.7954703669745555,3.5361208865892264,4.535989567414274,3.608001911800814,1.938992272763292e-05,9.695125640140112e-06,1.2666666666666667e-05,0.0,0.00018846136427330345,0.005597949059357659,0.006336717607309009
